"fips_code","county","date","total_outage"
12005,"Bay",2022-09-19,36.25
12005,"Bay",2022-09-20,93.25
12005,"Bay",2022-09-21,1027
12005,"Bay",2022-09-22,33
12005,"Bay",2022-09-23,53.25
12005,"Bay",2022-09-24,13044
12005,"Bay",2022-09-25,28.5
12005,"Bay",2022-09-26,194.75
12005,"Bay",2022-09-27,262.75
12005,"Bay",2022-09-28,766.25
12005,"Bay",2022-09-29,6.75
12005,"Bay",2022-09-30,434.75
12005,"Bay",2022-10-01,6
12005,"Bay",2022-10-02,232
12005,"Bay",2022-10-03,28
12005,"Bay",2022-10-04,738.75
12005,"Bay",2022-10-05,93.5
12005,"Bay",2022-10-06,608.75
12005,"Bay",2022-10-07,1746.5
12005,"Bay",2022-10-08,11.25
12005,"Bay",2022-10-09,466.75
12005,"Bay",2022-10-10,76
12005,"Bay",2022-10-11,37.75
12005,"Bay",2022-10-12,277.5
12005,"Bay",2022-10-13,73.25
12005,"Bay",2022-10-14,36.25
12005,"Bay",2022-10-15,671
12005,"Bay",2022-10-16,2706.75
12005,"Bay",2022-10-17,68.75
12005,"Bay",2022-10-18,89.75
12005,"Bay",2022-10-19,865.25
12005,"Bay",2022-10-20,521.25
12005,"Bay",2022-10-21,35.75
12005,"Bay",2022-10-22,19.5
12005,"Bay",2022-10-23,10.75
12005,"Bay",2022-10-24,305.25
12005,"Bay",2022-10-25,238.75
12005,"Bay",2022-10-26,378.5
12005,"Bay",2022-10-27,1270.5
12005,"Bay",2022-10-28,277.5
12005,"Bay",2022-10-29,8.75
12005,"Bay",2022-10-30,82
12005,"Bay",2022-10-31,128.25
12005,"Bay",2022-11-01,173
12005,"Bay",2022-11-02,512.5
12005,"Bay",2022-11-03,535.75
12005,"Bay",2022-11-04,214.75
12005,"Bay",2022-11-05,234.75
12005,"Bay",2022-11-06,11.75
12005,"Bay",2022-11-07,241.75
12005,"Bay",2022-11-08,90.5
12005,"Bay",2022-11-09,175
12005,"Bay",2022-11-10,131
12005,"Bay",2022-11-11,146
12005,"Bay",2022-11-12,1574.75
12005,"Bay",2022-11-13,12.25
12005,"Bay",2022-11-14,225.75
12005,"Bay",2022-11-15,679.5
12005,"Bay",2022-11-16,1350.75
12005,"Bay",2022-11-17,202.75
12005,"Bay",2022-11-18,25
12005,"Bay",2022-11-19,62.25
12005,"Bay",2022-11-20,35.5
12005,"Bay",2022-11-21,260.25
12005,"Bay",2022-11-22,79
12005,"Bay",2022-11-23,25
12005,"Bay",2022-11-24,44.5
12005,"Bay",2022-11-25,1.5
12005,"Bay",2022-11-26,12
12005,"Bay",2022-11-27,97.5
12005,"Bay",2022-11-28,17.25
12005,"Bay",2022-11-29,1123.25
12005,"Bay",2022-11-30,230
12005,"Bay",2022-12-01,13
12005,"Bay",2022-12-02,13
12005,"Bay",2022-12-03,211.25
12005,"Bay",2022-12-04,19
12005,"Bay",2022-12-05,32.75
12005,"Bay",2022-12-06,98
12005,"Bay",2022-12-07,28.75
12005,"Bay",2022-12-08,10.5
12005,"Bay",2022-12-09,14.5
12005,"Bay",2022-12-10,34.5
12005,"Bay",2022-12-11,16
12005,"Bay",2022-12-12,62.25
12005,"Bay",2022-12-13,61.5
12005,"Bay",2022-12-14,117.5
12005,"Bay",2022-12-15,46
12005,"Bay",2022-12-16,1574.25
12005,"Bay",2022-12-17,41.5
12005,"Bay",2022-12-18,22.75
12005,"Bay",2022-12-19,360
12005,"Bay",2022-12-20,172.5
12005,"Bay",2022-12-21,19.75
12005,"Bay",2022-12-22,103.75
12005,"Bay",2022-12-23,8097.25
12005,"Bay",2022-12-24,1988
12005,"Bay",2022-12-25,170
12005,"Bay",2022-12-26,71.5
12005,"Bay",2022-12-27,343.5
12005,"Bay",2022-12-28,12.25
12005,"Bay",2022-12-29,138
12005,"Bay",2022-12-30,3.75
12005,"Bay",2022-12-31,1704
12007,"Bradford",2022-05-01,4
12007,"Bradford",2022-05-02,0.75
12007,"Bradford",2022-05-03,0.5
12007,"Bradford",2022-05-04,55
12007,"Bradford",2022-05-05,27
12007,"Bradford",2022-05-07,104
12007,"Bradford",2022-05-08,2
12007,"Bradford",2022-05-09,3.75
12007,"Bradford",2022-05-11,14.75
12007,"Bradford",2022-05-12,421
12007,"Bradford",2022-05-13,150
12007,"Bradford",2022-05-14,460
12007,"Bradford",2022-05-15,147
12007,"Bradford",2022-05-16,119
12007,"Bradford",2022-05-17,1
12007,"Bradford",2022-05-18,13.5
